algo,qubits,tool,result,time
qft,16,quokka-sharp-comp-ganak,0.0000152587890625000000,0.0119705200195312
qft,16,quokka-sharp-pauli-ganak,0.000015258789062500000000,0.0578155517578125
qft,16,SliQSim,1.5256836000000001e-05,0.0079469680786132
qft,16,DDSim,1.5258789062500027e-05,0.2119338512420654
qft,32,quokka-sharp-comp-gpmc,2.3283064365387064752111698119923420619974531693647E-10,0.0256524085998535
qft,32,quokka-sharp-pauli-gpmc,2.3283064365387008512273399060592055320739746093750E-10,0.1166646480560302
qft,32,quokka-sharp-comp-ganak,2.3283064479827881E-10,0.0509212017059326
qft,32,quokka-sharp-pauli-ganak,2.328306436538696289062500000000E-10,0.4005100727081299
qft,32,SliQSim,2.25e-10,0.0206308364868164
qft,32,DDSim,2.32830643654262e-10,0.2263166904449463
qft,64,quokka-sharp-comp-gpmc,5.4210108624275696029882869311714627791424580895001E-20,0.1257729530334472
qft,64,quokka-sharp-pauli-gpmc,5.4210108624275434142727866119668145294951955293072E-20,0.7048013210296631
qft,64,quokka-sharp-comp-ganak,5.4210108785454736E-20,0.1403822898864746
qft,64,quokka-sharp-pauli-ganak,5.4210108624275221700372640043497085571289062500000E-20,1.661616325378418
qft,64,SliQSim,0.0,0.0845229625701904
qft,64,DDSim,5.421010863540163e-20,0.3253967761993408
qnn,18,quokka-sharp-comp-gpmc,0.039864108763082432642090357265609973515425404537682,182.52944922447205
qnn,18,quokka-sharp-pauli-gpmc,TIMEOUT,3600.107599496841
qnn,18,quokka-sharp-comp-ganak,0.03986410889242517896,79.02883744239807
qnn,18,quokka-sharp-pauli-ganak,TIMEOUT,3600.030902862549
qnn,18,SliQSim,0.0,0.0122954845428466
qnn,18,DDSim,0.03986410876325642,23.370078563690186
